metric,confidence,eligible_record_definition,numerator,denominator,required_columns,exclusions_and_deduplication,outlier_treatment,minimum_sample_threshold,suppression_rule,date_basis,geographic_grouping,known_limitations
sale_transaction_count,supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers.",count distinct transaction_id,n/a,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Suppress cells below 10.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,area/property type/registration type,Suppress cells below 10.
sale_transaction_value,conditionally supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers.",sum actual_worth,n/a,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Currency needs authority confirmation; suppress cells below 10.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,area/property type/registration type,Currency needs authority confirmation; suppress cells below 10.
median_sale_price,conditionally supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers.",median actual_worth,eligible sale events,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Currency needs confirmation; suppress cells below 10.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,area/property type/registration type,Currency needs confirmation; suppress cells below 10.
median_price_per_sqft,conditionally supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers. procedure_area > 0.",median(actual_worth / procedure_area / 10.7639104167),eligible sale events with square-metre area,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Winsorize/report extreme flags; currency confirmation required.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,area/property type/registration type,Winsorize/report extreme flags; currency confirmation required.
apartment_vs_villa,supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers.",count and medians computed separately,eligible events in exact official subtype labels,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Never infer subtype from names.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,property subtype,Never infer subtype from names.
ready_vs_off_plan,supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers.",count and medians by reg_type,eligible events,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']","Label as existing/off-plan per source, not secondary/primary.",Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,official registration type,"Label as existing/off-plan per source, not secondary/primary."
primary_vs_secondary,unsupported,No seller/developer role is supplied.,n/a,n/a,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Do not use reg_type as a proxy.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",n/a,n/a,Do not use reg_type as a proxy.
community_trends,conditionally supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers.",monthly count/value/median,eligible events,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Minimum 10; confidence bands at 10/30/100 samples.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,matched area_id,Minimum 10; confidence bands at 10/30/100 samples.
project_trends,conditionally supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers. unique matched project_number.",monthly count/value/median,eligible project-linked events,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Suppress unmatched/ambiguous and samples below 10.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,project_number,Suppress unmatched/ambiguous and samples below 10.
developer_activity,conditionally supported,"Unique transaction_id; transaction group 1 plus Phase 3A market_sale_candidate procedure allowlist; valid date; actual_worth > 0; exclude lease-to-own, administrative/ambiguous procedures and flagged outliers. uniquely matched project and developer.",count/value of linked project events,eligible linked events,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']","Activity, not performance, ranking or sales by developer.",Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",transaction month,developer,"Activity, not performance, ranking or sales by developer."
period_change,conditionally supported,Two complete comparable periods using the same eligibility/version.,current metric / previous metric - 1,previous period metric,"['transaction_id', 'instance_date', 'trans_group_id', 'procedure_id', 'actual_worth', 'procedure_area', 'area_id', 'reg_type_id', 'property_type_id', 'property_sub_type_id']",Suppress if either period fails threshold; flag partial latest month.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",month/quarter/year,same dimension,Suppress if either period fails threshold; flag partial latest month.
rental_contract_count,supported,Distinct contract_id; valid start/end; annual_amount > 0; use single-line/single-area contracts for geography-dependent amounts.,count distinct contract_id,n/a,"['contract_id', 'line_number', 'contract_start_date', 'annual_amount', 'area_id', 'actual_area', 'contract_reg_type_id']",Count header once; suppress cells below 10.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",contract start month,area/type/new-renewed,Count header once; suppress cells below 10.
median_annual_rent,supported,Distinct contract_id; valid start/end; annual_amount > 0; use single-line/single-area contracts for geography-dependent amounts.,median annual_amount,eligible distinct contracts,"['contract_id', 'line_number', 'contract_start_date', 'annual_amount', 'area_id', 'actual_area', 'contract_reg_type_id']",Use DLD annual_amount; multi-area contracts excluded from local medians.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",contract start month,area/type/new-renewed,Use DLD annual_amount; multi-area contracts excluded from local medians.
rent_per_sqft,conditionally supported,Distinct contract_id; valid start/end; annual_amount > 0; use single-line/single-area contracts for geography-dependent amounts. actual_area > 0.,median(annual_amount / actual_area / 10.7639104167),eligible single-property contracts,"['contract_id', 'line_number', 'contract_start_date', 'annual_amount', 'area_id', 'actual_area', 'contract_reg_type_id']",Rent area unit needs authority confirmation.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",contract start month,area/type,Rent area unit needs authority confirmation.
new_vs_renewed_rent,supported,Distinct contract_id; valid start/end; annual_amount > 0; use single-line/single-area contracts for geography-dependent amounts.,counts and medians by contract_reg_type_id,eligible distinct contracts,"['contract_id', 'line_number', 'contract_start_date', 'annual_amount', 'area_id', 'actual_area', 'contract_reg_type_id']",No linking of successive contracts without stable unit identity.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",contract start month,registration type,No linking of successive contracts without stable unit identity.
gross_rental_yield,unsupported for Phase 3B publication,Rent and sale populations lack a stable shared unit and directly comparable cohort.,median annual rent,median sale price,"['contract_id', 'line_number', 'contract_start_date', 'annual_amount', 'area_id', 'actual_area', 'contract_reg_type_id']",May be researched later; never call it investor return.,Retain in private facts; exclude invalid/non-positive denominators; publish robust medians and flag beyond source-aware fences.,10,"No public metric when sample_size < 10; 10-29 low confidence, 30-99 moderate, 100+ high, subject to quality flags.",aligned trailing period and property cohort,community/type,May be researched later; never call it investor return.
